player_name,player_profile_link,team,2020-12-22,2020-12-22,2020-12-23,2020-12-24,2020-12-25,2020-12-26,2020-12-27,2020-12-28,2020-12-29,2020-12-30,2020-12-31,2021-01-01,2021-01-02,2021-01-03,2021-01-04,2021-01-05,2021-01-06,2021-01-07,2021-01-08,2021-01-09,2021-01-10,2021-01-11,2021-01-12,2021-01-13,2021-01-14,2021-01-15,2021-01-16,2021-01-17,2021-01-18,2021-01-19,2021-01-20,2021-01-21,2021-01-22,2021-01-23,2021-01-24,2021-01-25,2021-01-26,2021-01-27,2021-01-28,2021-01-29,2021-01-30,2021-01-31,2021-02-01,2021-02-02,2021-02-03,2021-02-04,2021-02-05,2021-02-06,2021-02-07,2021-02-08,2021-02-09,2021-02-10,2021-02-11,2021-02-12,2021-02-13,2021-02-14,2021-02-15,2021-02-16,2021-02-17,2021-02-18,2021-02-19,2021-02-20,2021-02-21,2021-02-22,2021-02-23,2021-02-24,2021-02-25,2021-02-26,2021-02-27,2021-02-28,2021-03-01,2021-03-02,2021-03-03,2021-03-04,2021-03-05,2021-03-06,2021-03-07,2021-03-08,2021-03-09,2021-03-10,2021-03-11,2021-03-12,2021-03-13,2021-03-14,2021-03-15,2021-03-16,2021-03-17,2021-03-18,2021-03-19,2021-03-20,2021-03-21,2021-03-22,2021-03-23,2021-03-24,2021-03-25,2021-03-26,2021-03-27,2021-03-28,2021-03-29,2021-03-30,2021-03-31,2021-04-01,2021-04-02,2021-04-03,2021-04-04,2021-04-05,2021-04-06,2021-04-07,2021-04-08,2021-04-09,2021-04-10,2021-04-11,2021-04-12,2021-04-13,2021-04-14,2021-04-15,2021-04-16,2021-04-17,2021-04-18,2021-04-19,2021-04-20,2021-04-21,2021-04-22,2021-04-23,2021-04-24,2021-04-25,2021-04-26,2021-04-27,2021-04-28,2021-04-29,2021-04-30,2021-05-01,2021-05-02,2021-05-03,2021-05-04,2021-05-05,2021-05-06,2021-05-07,2021-05-08,2021-05-09,2021-05-10,2021-05-11,2021-05-12,2021-05-13,2021-05-14,2021-05-15,2021-05-16
Precious Achiuwa,https://www.basketball-reference.com/req/202105201/images/players/achiupr01.jpg,MIA,0.0,0.0,8.0,8.0,19.0,19.0,19.0,19.0,29.0,29.0,29.0,39.0,39.0,39.0,45.0,45.0,51.0,51.0,51.0,58.0,58.0,58.0,75.0,75.0,85.0,85.0,90.0,90.0,98.0,98.0,102.0,102.0,106.0,113.0,113.0,117.0,117.0,127.0,137.0,137.0,143.0,143.0,147.0,147.0,154.0,154.0,158.0,158.0,158.0,158.0,158.0,158.0,160.0,160.0,160.0,160.0,168.0,168.0,181.0,181.0,181.0,185.0,185.0,187.0,187.0,188.0,188.0,188.0,188.0,202.0,202.0,204.0,204.0,212.0,212.0,212.0,212.0,212.0,212.0,212.0,214.0,216.0,216.0,218.0,218.0,218.0,220.0,220.0,224.0,224.0,224.0,224.0,233.0,233.0,235.0,239.0,239.0,239.0,241.0,241.0,243.0,243.0,243.0,249.0,249.0,249.0,251.0,251.0,258.0,258.0,258.0,260.0,260.0,262.0,268.0,268.0,268.0,268.0,268.0,276.0,276.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,277.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,279.0,281.0,304.0
Jaylen Adams,https://www.basketball-reference.com/req/202105201/images/players/adamsja01.jpg,MIL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Steven Adams,https://www.basketball-reference.com/req/202105201/images/players/adamsst01.jpg,NOP,0.0,0.0,8.0,8.0,14.0,14.0,22.0,22.0,33.0,33.0,47.0,47.0,60.0,60.0,70.0,70.0,80.0,80.0,93.0,93.0,93.0,93.0,93.0,105.0,105.0,109.0,109.0,121.0,121.0,127.0,127.0,135.0,135.0,140.0,140.0,140.0,140.0,146.0,146.0,150.0,154.0,154.0,154.0,154.0,165.0,165.0,177.0,181.0,181.0,181.0,187.0,190.0,190.0,194.0,194.0,207.0,207.0,215.0,217.0,217.0,217.0,217.0,217.0,217.0,217.0,231.0,238.0,238.0,245.0,245.0,250.0,250.0,250.0,265.0,265.0,265.0,265.0,265.0,265.0,265.0,278.0,288.0,288.0,297.0,297.0,301.0,301.0,307.0,307.0,307.0,311.0,311.0,323.0,323.0,323.0,331.0,335.0,335.0,339.0,339.0,339.0,347.0,347.0,347.0,359.0,359.0,365.0,373.0,373.0,380.0,380.0,380.0,386.0,386.0,396.0,396.0,402.0,402.0,412.0,412.0,419.0,419.0,431.0,431.0,435.0,435.0,435.0,435.0,437.0,437.0,437.0,437.0,437.0,437.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0,438.0
Bam Adebayo,https://www.basketball-reference.com/req/202105201/images/players/adebaba01.jpg,MIA,0.0,0.0,25.0,25.0,42.0,42.0,42.0,42.0,54.0,76.0,76.0,95.0,95.0,95.0,115.0,115.0,130.0,130.0,130.0,139.0,139.0,139.0,139.0,139.0,139.0,139.0,167.0,167.0,195.0,195.0,209.0,209.0,223.0,264.0,264.0,290.0,290.0,305.0,321.0,321.0,339.0,339.0,362.0,362.0,379.0,379.0,400.0,400.0,424.0,424.0,443.0,443.0,453.0,453.0,467.0,467.0,494.0,494.0,518.0,534.0,534.0,550.0,550.0,569.0,569.0,588.0,588.0,607.0,607.0,623.0,623.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,634.0,648.0,663.0,663.0,683.0,683.0,712.0,712.0,728.0,728.0,757.0,774.0,774.0,774.0,794.0,794.0,810.0,829.0,829.0,847.0,847.0,847.0,865.0,865.0,878.0,878.0,878.0,900.0,900.0,911.0,932.0,932.0,949.0,949.0,970.0,970.0,970.0,993.0,993.0,1009.0,1029.0,1029.0,1052.0,1052.0,1073.0,1073.0,1073.0,1086.0,1106.0,1106.0,1117.0,1117.0,1117.0,1132.0,1132.0,1152.0,1152.0,1174.0,1174.0,1192.0,1192.0,1197.0,1197.0
LaMarcus Aldridge,https://www.basketball-reference.com/req/202105201/images/players/aldrila01.jpg,SAS,0.0,0.0,20.0,20.0,20.0,32.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,36.0,50.0,50.0,78.0,78.0,88.0,108.0,108.0,121.0,121.0,132.0,132.0,136.0,136.0,158.0,158.0,162.0,162.0,188.0,188.0,203.0,203.0,203.0,223.0,223.0,228.0,242.0,242.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,254.0,265.0,265.0,265.0,286.0,286.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,288.0,299.0,299.0,299.0,310.0,318.0,318.0,340.0,340.0,340.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0,352.0
Ty-Shon Alexander,https://www.basketball-reference.com/req/202105201/images/players/alexaty01.jpg,PHO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,9.0,9.0
Nickeil Alexander-Walker,https://www.basketball-reference.com/req/202105201/images/players/alexani01.jpg,NOP,0.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,14.0,14.0,28.0,28.0,31.0,31.0,37.0,37.0,50.0,50.0,55.0,55.0,55.0,55.0,55.0,92.0,92.0,104.0,104.0,113.0,113.0,122.0,122.0,133.0,133.0,143.0,143.0,143.0,143.0,151.0,151.0,157.0,170.0,170.0,177.0,177.0,183.0,183.0,187.0,187.0,187.0,187.0,194.0,194.0,194.0,194.0,194.0,200.0,200.0,203.0,203.0,203.0,206.0,206.0,208.0,208.0,208.0,211.0,211.0,211.0,217.0,217.0,217.0,217.0,217.0,230.0,230.0,230.0,230.0,230.0,230.0,230.0,240.0,255.0,255.0,257.0,257.0,277.0,277.0,283.0,283.0,283.0,303.0,303.0,321.0,321.0,321.0,335.0,355.0,355.0,372.0,372.0,372.0,403.0,415.0,415.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,420.0,433.0,451.0,451.0,464.0,464.0,494.0,494.0,508.0
Grayson Allen,https://www.basketball-reference.com/req/202105201/images/players/allengr01.jpg,MEM,0.0,0.0,6.0,6.0,6.0,16.0,16.0,19.0,19.0,19.0,19.0,19.0,19.0,22.0,22.0,25.0,25.0,31.0,41.0,41.0,41.0,48.0,48.0,68.0,68.0,68.0,80.0,80.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,104.0,104.0,116.0,116.0,134.0,134.0,157.0,157.0,167.0,167.0,175.0,197.0,197.0,201.0,201.0,201.0,204.0,204.0,204.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,214.0,229.0,229.0,238.0,238.0,252.0,258.0,258.0,267.0,267.0,287.0,287.0,304.0,313.0,313.0,315.0,315.0,315.0,315.0,330.0,330.0,345.0,345.0,353.0,383.0,383.0,393.0,393.0,398.0,412.0,412.0,435.0,435.0,446.0,472.0,472.0,496.0,496.0,502.0,502.0,504.0,504.0,513.0,521.0,521.0,528.0,528.0,528.0,528.0,528.0,530.0,530.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0,532.0
Jarrett Allen,https://www.basketball-reference.com/req/202105201/images/players/allenja01.jpg,CLE,0.0,8,8.0,8.0,17.0,17.0,25.0,33.0,33.0,48.0,48.0,53.0,53.0,67.0,67.0,86.0,86.0,101.0,113.0,113.0,128.0,128.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,134.0,146.0,146.0,165.0,165.0,177.0,183.0,183.0,193.0,193.0,208.0,208.0,218.0,241.0,241.0,248.0,248.0,261.0,263.0,263.0,277.0,277.0,295.0,295.0,317.0,317.0,332.0,345.0,345.0,345.0,345.0,365.0,365.0,391.0,391.0,404.0,430.0,430.0,430.0,444.0,444.0,454.0,454.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,471.0,476.0,476.0,485.0,485.0,493.0,500.0,500.0,515.0,515.0,532.0,543.0,543.0,562.0,562.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,575.0,590.0,607.0,607.0,617.0,617.0,622.0,622.0,630.0,630.0,645.0,645.0,672.0,687.0,687.0,704.0,704.0,717.0,723.0,723.0,723.0,740.0,749.0,749.0,754.0,754.0,759.0,771.0,771.0,779.0,779.0,797.0,797.0,806.0
Al-Farouq Aminu,https://www.basketball-reference.com/req/202105201/images/players/aminual01.jpg,ORL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,11.0,11.0,14.0,14.0,17.0,17.0,19.0,19.0,26.0,26.0,33.0,33.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0,51.0,51.0,53.0,53.0,53.0,53.0,60.0,65.0,65.0,70.0,70.0,87.0,93.0,93.0,93.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,100.0,100.0,100.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0
