player_name,player_image_url,0,1,2,3,4,5,6,7,8,9,10
Michael Jordan,https://www.basketball-reference.com/req/202105201/images/players/jordami01.jpg,0,23,53,88,117,166,229,248,283,325,355
Kareem Abdul-Jabbar,https://www.basketball-reference.com/req/202105201/images/players/abdulka01.jpg,0,36,69,102,135,181,216,254,287,325,352
Wilt Chamberlain,https://www.basketball-reference.com/req/202105201/images/players/chambwi01.jpg,0,35,63,116,158,187,199,223,273,299,345
Bob McAdoo,https://www.basketball-reference.com/req/202105201/images/players/mcadobo01.jpg,0,29,52,90,134,150,190,225,261,295,345
Luka Dončić,https://www.basketball-reference.com/req/202105201/images/players/doncilu01.jpg,0,42,70,83,126,148,186,217,256,300,319
Rick Barry,https://www.basketball-reference.com/req/202105201/images/players/barryri01.jpg,0,21,47,84,122,169,200,210,235,276,313
LeBron James,https://www.basketball-reference.com/req/202105201/images/players/jamesle01.jpg,0,32,58,99,137,182,214,236,266,287,309
George Gervin,https://www.basketball-reference.com/req/202105201/images/players/gervige01.jpg,0,20,50,85,131,164,199,226,249,280,309
Anthony Davis,https://www.basketball-reference.com/req/202105201/images/players/davisan02.jpg,0,35,61,90,126,161,183,211,258,279,304
George Mikan,https://www.basketball-reference.com/req/202105201/images/players/mikange01.jpg,0,37,75,107,138,180,190,225,252,274,303
Allen Iverson,https://www.basketball-reference.com/req/202105201/images/players/iversal01.jpg,0,30,43,76,113,148,171,203,228,268,281
Earl Monroe,https://www.basketball-reference.com/req/202105201/images/players/monroea01.jpg,0,32,61,88,113,152,171,196,230,248,277
Bernard King,,0,25,52,92,110,121,137,158,193,229,275
Elgin Baylor,https://www.basketball-reference.com/req/202105201/images/players/bayloel01.jpg,0,14,40,70,91,124,139,171,207,240,274
Tracy McGrady,https://www.basketball-reference.com/req/202105201/images/players/mcgratr01.jpg,0,25,38,50,83,118,160,185,205,236,273
Kevin Durant,https://www.basketball-reference.com/req/202105201/images/players/duranke01.jpg,0,24,56,85,107,124,150,191,214,240,271
Paul Arizin,https://www.basketball-reference.com/req/202105201/images/players/arizipa01.jpg,0,23,41,63,92,118,147,184,202,234,269
Kiki Vandeweghe,https://www.basketball-reference.com/req/202105201/images/players/vandeki01.jpg,0,29,44,68,100,126,154,176,198,232,269
Elvin Hayes,https://www.basketball-reference.com/req/202105201/images/players/hayesel01.jpg,0,31,46,72,102,129,155,171,194,230,264
Terry Cummings,https://www.basketball-reference.com/req/202105201/images/players/cummite01.jpg,0,22,52,89,118,135,176,197,220,234,262
Bob Cousy,https://www.basketball-reference.com/req/202105201/images/players/cousybo01.jpg,0,17,29,60,88,122,142,192,220,241,259
Paul Pierce,https://www.basketball-reference.com/req/202105201/images/players/piercpa01.jpg,0,31,56,85,105,151,168,190,209,234,252
Stephen Curry,https://www.basketball-reference.com/req/202105201/images/players/curryst01.jpg,0,19,49,78,109,124,146,190,212,228,250
Derrick Coleman,https://www.basketball-reference.com/req/202105201/images/players/colemde01.jpg,0,21,45,67,89,120,147,169,190,223,250
Chris Paul,https://www.basketball-reference.com/req/202105201/images/players/paulch01.jpg,0,35,67,83,99,123,140,170,205,228,250
Tim Hardaway,https://www.basketball-reference.com/req/202105201/images/players/hardati01.jpg,0,19,39,61,93,126,154,178,200,227,249
Nikola Jokić,https://www.basketball-reference.com/req/202105201/images/players/jokicni01.jpg,0,10,31,53,82,98,141,162,199,215,248
Alonzo Mourning,https://www.basketball-reference.com/req/202105201/images/players/mournal01.jpg,0,30,48,62,95,122,146,180,192,214,246
Mike Mitchell,https://www.basketball-reference.com/req/202105201/images/players/mitchmi01.jpg,0,30,52,74,96,120,145,179,193,223,245
David Thompson,https://www.basketball-reference.com/req/202105201/images/players/thompda01.jpg,0,26,44,84,100,131,148,175,195,211,245
Bob Lanier,https://www.basketball-reference.com/req/202105201/images/players/laniebo01.jpg,0,27,65,84,110,133,161,184,199,216,245
Fred Brown,https://www.basketball-reference.com/req/202105201/images/players/brownfr01.jpg,0,23,53,71,79,105,113,150,165,199,244
Donovan Mitchell,https://www.basketball-reference.com/req/202105201/images/players/mitchdo01.jpg,0,27,55,77,110,133,171,192,209,219,244
David Robinson,https://www.basketball-reference.com/req/202105201/images/players/robinda01.jpg,0,26,57,83,92,123,151,172,199,223,243
Kevin Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnske02.jpg,0,26,60,92,107,129,149,168,192,219,241
Dave Bing,https://www.basketball-reference.com/req/202105201/images/players/bingda01.jpg,0,30,54,81,107,125,169,189,207,230,241
Rolando Blackman,https://www.basketball-reference.com/req/202105201/images/players/blackro01.jpg,0,19,47,74,94,123,135,162,193,214,239
Pete Maravich,https://www.basketball-reference.com/req/202105201/images/players/maravpe01.jpg,0,23,40,62,79,110,129,145,182,218,239
Jo Jo White,https://www.basketball-reference.com/req/202105201/images/players/whitejo01.jpg,0,25,42,71,103,129,145,164,187,216,239
Elton Brand,https://www.basketball-reference.com/req/202105201/images/players/brandel01.jpg,0,21,40,57,68,89,129,156,176,206,239
Carlos Boozer,https://www.basketball-reference.com/req/202105201/images/players/boozeca01.jpg,0,11,52,74,89,115,137,172,189,219,238
Julius Erving,https://www.basketball-reference.com/req/202105201/images/players/ervinju01.jpg,0,36,66,93,116,138,152,166,190,208,236
Gilbert Arenas,https://www.basketball-reference.com/req/202105201/images/players/arenagi01.jpg,0,9,48,80,103,119,138,163,191,211,236
Vince Carter,https://www.basketball-reference.com/req/202105201/images/players/cartevi01.jpg,0,16,43,58,71,93,113,145,172,207,235
