player_name,player_image_url,,1 career playoff game,2 career playoff games,3 career playoff games,4 career playoff games,5 career playoff games,6 career playoff games,7 career playoff games,8 career playoff games,9 career playoff games,10 career playoff games
Wilt Chamberlain,https://www.basketball-reference.com/req/202105201/images/players/chambwi01.jpg,0,35,63,116
George Mikan,https://www.basketball-reference.com/req/202105201/images/players/mikange01.jpg,0,37,75,107
Kareem Abdul-Jabbar,https://www.basketball-reference.com/req/202105201/images/players/abdulka01.jpg,0,36,69,102
Ja Morant,https://www.basketball-reference.com/req/202105201/images/players/moranja01.jpg,0,26,73,101
LeBron James,https://www.basketball-reference.com/req/202105201/images/players/jamesle01.jpg,0,32,58,99
Kelly Tripucka,https://www.basketball-reference.com/req/202105201/images/players/tripuke01.jpg,0,26,53,93
Julius Erving,https://www.basketball-reference.com/req/202105201/images/players/ervinju01.jpg,0,36,66,93
Kevin Johnson,https://www.basketball-reference.com/req/202105201/images/players/johnske02.jpg,0,26,60,92
Bernard King,,0,25,52,92
Bob McAdoo,https://www.basketball-reference.com/req/202105201/images/players/mcadobo01.jpg,0,29,52,90
Anthony Davis,https://www.basketball-reference.com/req/202105201/images/players/davisan02.jpg,0,35,61,90
Terry Cummings,https://www.basketball-reference.com/req/202105201/images/players/cummite01.jpg,0,22,52,89
Michael Jordan,https://www.basketball-reference.com/req/202105201/images/players/jordami01.jpg,0,23,53,88
Earl Monroe,https://www.basketball-reference.com/req/202105201/images/players/monroea01.jpg,0,32,61,88
Paul Pierce,https://www.basketball-reference.com/req/202105201/images/players/piercpa01.jpg,0,31,56,85
Kevin Durant,https://www.basketball-reference.com/req/202105201/images/players/duranke01.jpg,0,24,56,85
George Gervin,https://www.basketball-reference.com/req/202105201/images/players/gervige01.jpg,0,20,50,85
Rick Barry,https://www.basketball-reference.com/req/202105201/images/players/barryri01.jpg,0,21,47,84
Devin Booker,https://www.basketball-reference.com/req/202105201/images/players/bookede01.jpg,0,34,65,84
David Thompson,https://www.basketball-reference.com/req/202105201/images/players/thompda01.jpg,0,26,44,84
Bob Lanier,https://www.basketball-reference.com/req/202105201/images/players/laniebo01.jpg,0,27,65,84
Trae Young,https://www.basketball-reference.com/req/202105201/images/players/youngtr01.jpg,0,32,62,83
