PHI,Philadelphia 76ers,EAST
BRK,Brooklyn Nets,EAST
MIL,Milwaukee Bucks,EAST
NYK,New York Knicks,EAST
ATL,Atlanta Hawks,EAST
MIA,Miami Heat,EAST
BOS,Boston Celtics,EAST
CHO,Charlotte Hornets,EAST
IND,Indiana Pacers,EAST
WAS,Washington Wizards,EAST
TOR,Toronto Raptors,EAST
CHI,Chicago Bulls,EAST
CLE,Cleveland Cavaliers,EAST
ORL,Orlando Magic,EAST
DET,Detroit Pistons,EAST
UTA, Utah Jazz,WEST
PHO,Phoenix Suns,WEST
LAC,Los Angeles Clippers,WEST
DEN,Denver Nuggets,WEST
LAL,Los Angeles Lakers,WEST
DAL,Dallas Mavericks,WEST
POR,Portland Trail Blazers,WEST
MEM,Memphis Grizzlies,WEST
SAS,San Antonio Spurs,WEST
GSW,Golden State Warriors,WEST
NOP,New Orleans Pelicans,WEST
SAC,Sacramento Kings,WEST
OKC,Oklahoma City Thunder,WEST
MIN,Minnesota Timberwolves,WEST
HOU,Houston Rockets,WEST
